AveragePressure;AverageRelativeHumidity;DailyPrecipitation;MaximumTemperature;MinimumTemperature;WindSpeed
30.26;56;0;68;45;7
30.22;67;0;69;43;6.1
30.04;56;0;82;44;8.7
29.99;34;0.01;76;56;10.7
30.06;41;0;69;45;7.9
30.12;45;5;63;43;8
30.16;71;5;52;44;3.6
29.95;87;1.46;58;45;10.1
29.59;88;0.81;59;43;9.2
29.91;46;0;56;38;9.1
30.09;52;0;60;34;7.3
30.06;96;0.16;51;47;6.7
30.08;89;0.17;48;45;7.9
29.93;92;0.21;59;45;7.7
29.98;73;0;67;40;6.5
29.87;61;0;74;43;5.3
29.81;41;0;74;56;9.8
29.6;71;0.11;75;55;9.3
29.69;83;0.45;59;47;10.6
29.62;70;5;67;45;12.7
29.8;63;0;65;41;8.2
29.7;68;0;50;45;17.7
29.88;47;0;68;47;15.9
30;54;0;73;42;6.2
29.89;67;5;65;48;3.9
29.7;80;0.27;60;48;7.8
29.35;61;0.3;75;49;11.5
29.34;67;0.01;71;54;10.3
29.34;55;5;61;49;12.2
29.48;72;0.24;63;45;8.8
29.38;58;5;69;48;9.3
29.47;60;5;60;48;7.9
29.65;48;0;73;45;11.8
29.78;41;5;71;53;9.9
29.93;46;0;76;50;8
29.9;50;5;77;52;14.5
29.76;72;0.02;78;59;11.4
30.04;41;0;69;50;11
29.98;38;0;77;46;10
29.99;39;0;77;57;9.8
29.76;75;0.01;68;61;12.1
29.62;60;0;84;58;9.3
29.75;47;0;80;58;8.5
29.86;41;0;85;56;10
29.81;83;0.29;67;58;8.1
30;81;5;62;57;11.9
30.13;85;0.31;60;54;6.1
29.93;74;0;85;56;5.8
29.77;62;0;94;74;8.9
29.74;56;0;97;74;8.8
29.79;60;0;96;70;7
29.92;44;0;87;69;9.7
30.11;40;0;83;57;8.8
30.14;39;0;80;56;7.3
29.89;69;5;84;60;6
29.8;83;0.28;68;58;6.4
29.75;82;0.74;69;59;7.7
29.64;67;0.01;79;59;8
29.7;62;0.17;74;53;8.1
29.8;69;0;73;57;6.6
29.92;64;0;79;58;8.2
29.97;62;0;84;63;7.6
29.95;73;0.01;82;65;10.3
29.89;83;0.08;76;68;6.8
29.89;76;0.46;81;62;5.2
30.02;57;0;83;62;7.9
29.82;72;5;79;62;6.5
29.76;75;5;84;65;5.7
29.8;75;0.07;85;68;5.7
29.75;72;0;92;70;9.6
29.67;70;0.06;88;70;9.1
29.79;71;0;87;68;8.5
29.88;68;5;83;68;7.7
29.88;59;0;88;65;11.3
29.95;77;0.02;74;65;5.5
29.98;85;0.24;72;66;3.3
30.01;76;0;80;67;5.6
29.98;74;0;87;69;8
29.88;70;0;90;71;9.4
29.74;69;5;90;71;10.3
29.79;47;5;86;67;10.6
29.98;58;0;84;62;6.4
30.04;63;0;84;66;7.7
29.88;74;0;82;69;11.9
29.75;65;5;87;70;7.3
29.96;56;0;88;65;6.4
30.07;58;0;91;64;6.2
30.02;51;0;93;67;5.7
29.94;58;0;95;69;6.7
29.88;59;0;96;72;7.6
29.85;66;0;94;72;10.7
29.75;71;0.38;90;71;7.9
29.85;72;5;82;68;7.8
29.95;82;2.17;78;67;8
29.95;88;1.52;80;69;13.4
30.01;64;0;85;67;4
29.93;64;0;86;63;7.5
29.79;83;0.9;78;64;8.5
29.78;69;0;85;63;6
29.78;57;0;87;68;7.8
29.75;63;0;83;66;6.4
29.57;76;0.05;83;70;7.8
29.59;62;0;86;69;5.7
29.65;73;0.14;84;68;5.2
29.68;67;5;83;66;7.1
29.78;62;0;84;65;8.9
29.9;72;0;78;66;7.6
29.8;86;0.52;69;64;7.5
29.7;81;0.08;74;65;6.6
29.59;80;0.5;79;61;4.5
29.72;75;0;77;58;4.7
29.83;73;0;78;61;6.5
29.72;84;0.25;72;65;9.1
29.63;76;0.11;76;62;7.8
29.74;67;0;79;60;5.8
29.72;77;0.03;83;64;4.1
29.9;78;5;77;64;5.6
29.85;66;5;81;63;6
29.84;59;0;83;62;9.5
29.86;64;0;86;66;8.3
29.82;61;5;82;59;10.5
30.08;55;0;73;53;8
30.19;63;0;77;55;4.8
30.28;70;0;79;58;5.1
30.24;74;0;76;57;4.5
30.01;75;0;79;58;4.4
29.78;68;5;83;63;8.9
29.92;52;0;76;57;9.4
30.02;52;0;78;55;6.1
30;59;0;81;57;6
29.96;67;0;79;56;4
29.95;88;0.22;71;65;3.3
29.99;49;0;82;64;9.7
30.03;44;0;84;62;8.8
29.96;57;0;81;63;8.3
29.87;64;5;81;56;5.1
29.89;69;0;87;64;6.9
30.03;77;0;85;68;8.1
29.86;92;3.95;79;71;9.4
29.69;67;0.15;80;63;10.4
30.04;60;0;79;59;4.1
29.96;85;0.29;77;61;8.3
30.11;61;0;71;56;5.8
30.29;65;0;71;50;3
30.11;82;0.47;68;54;6.8
29.86;84;0;73;64;1.9
29.77;91;0.92;72;65;8.3
29.64;61;0;83;62;12.3
30.04;73;0;69;57;3.4
30.06;71;0;71;54;2.9
30.1;67;0;70;51;7.5
30.39;62;0;63;47;9.2
30.25;69;0;67;46;3.5
30.13;69;0;77;49;3.6
30.3;78;0;62;50;9.8
30.4;68;0;67;48;6.4
30.39;66;0;68;45;3.4
30.4;70;0;67;46;9.8
30.22;91;2.53;67;58;9.8
30.03;92;1.52;71;64;4
29.83;91;0.91;71;66;2.5
29.82;81;0.23;70;64;4.3
29.83;82;0.02;67;61;3.5
29.62;84;0.03;73;61;5.8
29.51;68;0.11;65;47;7.5
29.81;65;5;66;45;9.5
30.09;64;0;63;42;6.6
30.21;88;0.04;54;42;1.1
30.22;61;5;61;44;7.5
30.21;52;0;65;42;6.2
30.04;62;0;69;39;5.1
29.85;77;0.08;73;58;9.5
30.06;52;0;71;50;6
30.31;61;0;69;46;4.7
30.41;64;0;68;46;5
30.25;67;0;70;50;6.1
30.16;75;0;64;51;6.9
30.01;77;0;68;52;4.6
29.86;77;5;70;52;7.5
29.99;57;0;60;45;8.2
30.13;60;0;55;40;10.6
30.24;60;0;51;40;16.1
30.09;50;0;59;37;8.5
29.83;65;0.01;63;32;4.6
30.05;71;5;47;40;13.4
30.51;61;0;50;32;9
30.41;57;0;60;31;4
30.12;78;0.32;64;42;11.6
29.73;69;0.46;66;44;7.8
29.83;77;0;64;41;3.2
29.35;81;0.44;51;38;13.5
29.57;54;0;47;32;13.7
30.14;57;0;48;30;8.5
30.26;49;0;63;29;8.5
30.11;58;0;64;40;6.3
30.42;50;0;47;29;7.3
30.45;79;0;55;26;2.6
30.31;84;0;60;37;2.5
30.15;77;0.14;66;48;5.8
29.93;91;0.83;59;55;12.6
29.81;90;5;61;55;5.7
29.67;92;0.06;60;56;6.4
29.61;63;0.02;59;43;8.3
29.86;55;5;53;37;7.1
30.11;53;0;50;34;8.5
30.28;56;0;48;32;1.3
30.2;76;0.06;55;34;4.5
29.91;93;0.13;61;51;4
29.65;90;0.63;68;57;13.9
29.41;59;0.2;67;41;14.2
29.87;51;0;48;33;7
29.93;51;0;41;27;12.6
29.91;42;0;34;23;12
29.76;47;0;36;21;6.3
29.93;47;0;36;21;6.3
30.09;45;0;30;20;11.4
30.24;45;0;34;21;9.8
30.26;62;5;44;22;3.8
29.73;90;2.15;52;35;7.8
29.8;74;0;46;27;4.7
29.9;60;0;46;31;5.8
29.73;69;0.03;50;28;5.9
29.81;59;0;46;29;6.9
29.82;84;1.08;43;25;5.9
29.47;76;0.11;58;43;12.4
29.91;55;0;49;36;9.2
30.12;66;0;44;28;5.2
30;64;5;54;31;11.1
30.06;45;5;41;29;8.3
30.05;62;5;37;21;3.2
29.61;69;0.12;34;22;11.1
30.16;36;0;24;14;9.3
30.32;64;0.09;56;15;8.5
29.92;83;0.34;62;43;18.3
29.95;89;1.84;43;37;12.6
29.49;75;2.11;63;32;15.9
30.11;43;0;32;21;10.7
30.44;68;0;48;19;7.9
30.26;74;0.02;62;44;17.4
30.29;62;0.11;58;28;9.6
30.07;90;0.2;39;27;6.7
30.19;68;0;41;28;6.5
30.06;79;0.8;31;19;10.9
30.01;80;0.09;21;15;15.9
29.69;83;0.57;34;20;12.1
29.69;51;5;27;15;16
30.46;57;0;28;14;7.5
30.2;84;0.35;54;26;13
29.96;52;0.15;56;30;15.2
30.48;63;0;39;23;4.2
30.26;84;0.07;50;37;9.1
29.85;77;0.02;60;45;14.3
29.82;59;0;45;28;9.9
29.63;49;0.01;40;29;14.1
29.59;63;0.26;30;10;15
29.96;43;0;20;6;14
29.87;63;5;37;9;5.8
29.76;51;0;35;24;15
29.9;48;0;38;22;7.7
29.84;63;0.02;41;25;7.2
29.94;55;0.01;33;26;5.4
29.29;89;1.38;37;29;7.4
29.24;59;5;41;26;17.9
29.82;47;0;30;20;13.9
30.12;55;0.11;29;15;5.6
29.8;78;0.26;28;23;10.1
30.06;60;5;30;17;7.8
29.88;79;0.12;37;14;2.6
29.87;40;5;36;15;12.8
30.16;49;5;17;10;10
30.36;46;0;18;4;7.5
30.39;48;5;19;4;5.8
29.93;85;0.62;30;17;4.6
29.59;82;0.12;33;24;5
29.57;66;5;32;22;7.6
29.73;50;5;28;14;8.9
29.83;55;0;33;14;10.3
29.91;76;0;40;14;5.8
29.79;46;0;40;13;14
30.2;47;0;24;1;7
30.3;45;0;26;7;4.3
30.35;44;5;28;20;5.1
29.95;80;1.3;42;23;9
29.71;59;0;38;22;9.7
29.82;62;0;40;17;6.2
29.78;49;0;26;17;11.4
29.85;57;0;45;19;7.5
29.86;70;0;48;27;4.6
29.7;75;0.17;36;26;15.5
29.83;48;0.02;27;15;9.5
30.09;44;0;20;8;11.5
30.29;51;0;28;5;6
30.22;62;5;46;13;9.5
29.82;53;0.02;55;34;13.3
30.21;51;0;40;26;6.4
30.22;68;0;39;26;3.9
29.83;77;0;58;35;5.7
29.23;63;0.16;54;41;18.6
29.6;41;5;42;27;14.7
29.77;38;0;42;24;11.7
29.86;41;0;42;27;9.3
30.03;54;0;39;24;7.1
30.11;55;0;39;23;7.7
29.95;77;0.39;39;20;9
29.3;76;0.23;50;27;9.1
29.52;43;0;31;21;16.7
30.01;47;0;40;25;11.2
29.92;81;0.7;42;27;8.5
29.77;47;5;35;22;19.7
30.08;41;0;36;20;12.6
30.34;48;0;38;20;4.4
30.29;68;0;49;24;7.7
30.06;76;0.25;60;33;16.8
30.01;53;0.05;51;32;12.4
30.06;72;0.14;32;24;16.1
29.8;75;0.82;25;18;18.4
30;46;5;26;15;10.5
30.22;42;0;31;8;8.2
30.34;51;0;39;14;6.3
30.06;65;5;48;30;12.2
29.95;57;0;63;32;8.3
29.77;57;0.04;63;43;9.2
29.91;85;0.67;43;32;12.6
30.27;67;0.01;46;29;7.3
29.99;80;0.13;51;37;13.3
30.23;33;0;42;28;12.2
30.43;47;0;35;24;8.6
30.22;59;0;47;23;6.5
30.11;57;0;53;33;5.4
30.27;68;0;48;30;8.3
30.24;61;0;49;30;6.3
30.1;60;0;56;29;11.9
29.97;74;0.12;48;38;6.1
30.18;48;0;42;28;9.8
30.4;47;0;47;23;7.4
30.19;47;0;52;31;10.7
30.18;29;5;35;22;14.3
30.26;38;0;47;22;15.1
30.27;39;0;54;32;9
30.05;70;0.2;49;27;6.8
29.85;73;0.03;61;41;9.2
29.98;77;0;55;39;6.9
29.58;89;0.63;47;41;9.2
29.44;70;0.07;48;39;13.2
30.01;57;0;57;35;9
30.17;80;0.08;43;31;5.8
29.98;90;0.11;52;42;2.9
29.52;91;0.9;57;47;8.2
29.26;54;5;54;42;17.1
29.56;47;0;60;41;13.3
29.47;81;1.79;54;35;8.4
29.21;63;5;51;36;9.3
29.53;51;5;46;33;10
29.75;48;0;60;30;9
29.95;58;0.16;62;34;7
29.8;83;0.63;47;37;14.3
29.9;39;0;45;33;15
29.96;31;0;54;31;11.7
29.99;46;0;54;40;5.6
29.99;38;0;57;38;14.4
30.19;39;0;55;36;11.7
30.09;35;0;69;38;8
29.86;37;5;70;50;8.6
29.98;50;5;57;41;11.1
30.14;66;0.67;54;36;11.5
29.75;90;1.39;57;47;9.8
29.61;80;0.11;59;46;9.2
29.7;54;0.02;57;44;14.1
30.12;42;0;68;43;9.7
30.11;72;0;63;48;7.7
30.08;48;0;88;52;7.8
30.27;64;0;68;52;7
30.04;44;0;89;51;14.2
30.34;37;0.01;64;43;11.3
30.35;53;5;64;37;8.9
29.88;83;5;65;54;11.5
29.77;57;0.01;68;54;7.6
29.94;68;0.03;61;47;5.8
30.01;80;0.01;57;50;4.6
30.06;82;0.94;54;47;12.3
30;80;0.42;62;46;8.3
29.75;86;0.65;67;50;8
29.73;65;0;72;51;8.4
29.61;85;0.18;69;54;6.6
29.64;44;0;66;49;15.8
29.94;51;0;62;42;8.4
30.06;66;5;64;46;5.5
30.32;65;0;66;43;8
30.29;74;0.22;63;48;13.8
30.18;83;5;69;52;7.3
30.06;81;0.02;71;50;8.1
29.87;61;0.32;62;52;11.1
30.14;63;0.03;53;43;7.3
30.3;49;0;65;42;7.5
30.27;45;0;78;48;8.2
30.15;31;0;85;54;11.2
30.01;50;0;84;59;9.4
30.12;58;0.01;67;55;8.5
29.94;81;0.15;81;54;6
29.91;45;0;78;56;8.5
30.2;48;0;61;48;9.2
30.03;79;0.1;58;47;5.7
29.89;81;0.01;59;49;11.1
29.7;87;0.17;65;50;3.9
29.6;57;0;78;59;7.1
29.68;52;0.02;77;51;9.8
29.97;46;0;70;43;9.8
29.89;69;5;77;56;6.8
29.92;58;0.02;75;56;6.9
29.93;77;0.2;69;54;6.2
29.91;84;0.53;61;54;6.4
29.85;79;5;70;54;9.2
29.9;50;5;81;58;7.7
29.93;58;0;77;59;7.4
29.93;80;0.31;61;55;5.6
29.9;79;5;64;55;6.7
29.9;78;0.03;66;56;6.9
29.68;83;0.39;76;59;5.8
29.84;72;5;78;61;6.9
29.93;74;0.44;69;55;5.6
30.01;74;0.02;69;53;6.2
30.15;66;5;70;52;7
30.17;61;0;71;49;6
30;80;0.52;67;52;8.3
29.7;85;0.59;74;63;6.6
29.6;85;5;73;61;5.8
29.47;82;0.02;69;62;15.5
29.52;85;0.18;63;60;15.8
29.62;82;0.04;69;62;12.5
29.69;82;0.01;67;59;8
29.72;79;0;74;61;3.9
29.64;78;0.05;79;62;6.9
29.62;71;0;79;63;7.2
29.59;77;5;72;61;8.9
29.4;81;0.17;76;64;5.7
29.56;76;0.09;79;62;6.9
29.72;87;1.92;71;62;6.2
29.74;88;1.14;74;60;7.4
29.73;80;1.18;75;63;5.5
29.7;57;0;79;61;10.8
29.75;53;0;79;57;11.1
29.7;60;0;80;58;5.5
29.72;87;0.69;68;61;6.9
29.8;76;0.24;75;60;8.2
30.11;67;5;70;56;8.3
30.22;61;0;74;52;5.1
30.09;65;0.15;73;53;10.3
29.83;66;0.06;79;63;7.9
29.81;51;0;77;58;10.4
29.91;49;0;77;57;8.3
29.99;54;0;80;57;9.4
29.8;76;0.02;80;63;9.1
29.75;69;0.03;84;66;5
29.68;68;0.88;85;68;7.3
29.95;58;0;81;62;7.1
30.11;64;0;80;61;3.5
30.11;87;0.96;69;64;8.1
30.06;73;5;80;65;4.1
30.01;82;1.48;77;64;7
29.73;74;1.08;76;63;12.2
29.87;70;0.07;84;62;7.7
29.88;82;0.08;82;71;9.7
29.88;74;5;84;71;9.2
29.88;73;0;84;69;6.4
29.83;83;5;81;72;8.4
29.74;71;0.03;87;72;7.8
29.82;83;0.51;78;67;7
29.96;70;0;83;66;4.9
29.9;84;0;77;65;7.6
29.88;69;0;83;67;5.2
29.9;74;0;83;66;6.9
29.8;72;0.31;86;69;8.6
29.86;65;0;76;65;5.3
29.91;50;0;79;61;8.7
30.12;52;0;76;58;6.5
30.06;71;0;73;57;6.7
29.78;69;0.01;89;69;6.1
29.72;72;0.49;89;69;5.4
29.92;81;5;74;67;7.9
30.03;85;0.2;69;62;8.6
30.09;76;0;80;58;4.4
30.08;69;0;88;65;5.2
30.09;73;0;89;67;6
30.07;75;0;87;70;6
29.96;65;0;94;69;8
29.86;74;0;90;73;6.7
29.89;81;0;89;71;6.9
29.87;84;5;89;75;11.3
29.82;79;0.02;85;76;10.4
29.72;73;0.05;87;73;8
29.91;74;0;86;71;5.5
30.01;78;0;82;68;6.9
29.88;62;5;89;69;9.7
29.99;47;0;77;61;7
30.09;72;0.28;79;60;6.5
29.82;94;1.44;66;57;9.5
29.81;88;5;75;56;4.8
29.99;65;0;74;58;6.3
30.17;63;0;74;54;5.9
30.22;73;0;75;52;4.6
30.1;70;0;75;52;3.5
29.96;65;0;83;51;5
30.03;65;0;83;61;5.7
30.28;64;0;70;53;10.1
30.22;72;0;71;50;3.8
30.03;76;0;77;57;2.8
30.09;70;0;74;55;12.4
30.35;71;0;69;53;11.1
30.21;91;1.24;65;55;12.8
29.93;95;0.18;69;63;9.3
29.77;77;0.11;80;63;6.5
29.8;66;0;77;57;6.8
29.83;67;0;79;58;7.8
30.14;77;5;69;53;11.9
30.17;74;0;64;49;8.8
29.92;70;0;73;48;11
30.09;56;0;69;46;8.3
30.24;70;0;72;43;4.4
30.24;76;0;74;48;5
30.22;83;0;75;53;4.7
30.06;81;5;78;62;8.4
29.9;73;0.01;83;60;7
30.11;60;0;67;47;11.5
30.24;70;0;62;44;4.9
29.71;93;0.46;67;57;8.8
29.45;77;0.22;74;58;11.5
29.49;67;0.05;69;55;11.1
29.67;69;0;63;44;9
29.89;69;0;58;42;7.2
29.97;68;5;62;40;6.2
29.9;94;1.53;65;58;7
29.79;87;0;72;56;2.9
29.78;66;0;67;50;7.8
29.83;66;0;66;48;7.5
29.47;66;0.8;72;55;16.2
29.84;61;0;63;48;9.3
29.85;87;0.05;64;48;4
29.71;74;0.08;67;42;7.4
30.06;58;0;65;36;8.1
30.26;54;0;54;39;5.8
29.98;77;0.02;58;40;8.1
30.09;63;0;53;37;6.2
30.03;73;0.36;44;36;10.7
29.88;77;0.04;44;37;15.2
30.02;71;5;50;36;12.8
29.97;89;1.2;48;37;16.6
30.01;68;0;56;33;7.4
30.03;61;0;66;31;4.4
30.08;72;0;67;45;3.4
29.88;70;0;73;48;7.9
30.08;66;5;64;43;10.4
29.84;91;1.75;71;45;13
29.85;62;0.03;64;46;9.1
30.22;64;0;63;43;5
30.13;91;0.06;53;38;5.8
29.9;94;1.12;54;50;14.8
30.17;77;5;52;44;9.5
30.22;76;0;54;44;4.4
29.86;82;0.09;72;48;13.7
29.98;66;0.02;60;43;6.9
30.14;76;5;54;41;10.5
29.95;62;5;59;40;7.1
30.15;56;0;52;38;5.7
30.06;80;0.01;49;38;4.4
30.01;66;0.03;51;33;9.5
30.17;67;0;51;29;5.7
30.13;63;0;70;39;5.5
30.29;68;0;69;35;6.9
30.16;63;0;66;52;6.4
30.29;59;0;56;45;13.2
30.21;68;0;52;44;14.6
30.06;81;0.02;54;47;18.5
29.88;95;2.13;60;54;12
29.8;93;0.06;65;52;4.3
29.9;55;0;61;46;8.4
30.19;56;0;52;35;6.5
30.4;76;0;50;33;1.7
30.29;82;0;59;34;0.4
29.92;76;0.93;69;47;9.5
29.96;69;0;59;38;4.8
30.22;71;0;54;40;10.1
30.36;82;0.35;50;44;11.9
30.12;91;0.05;49;47;14.1
29.98;93;0.02;50;47;6.2
29.83;89;5;53;46;4.4
29.3;85;0.57;48;42;14.5
29.31;60;0.04;53;42;18.1
29.75;66;0;55;35;7.1
29.57;78;0.19;58;42;8.7
29.81;61;0;45;32;8
30.06;77;0.06;55;31;5.8
29.49;69;1.71;66;51;15.3
29.94;58;0;54;40;4.6
29.95;85;0.47;44;33;11.2
29.99;71;5;36;30;9.7
30.19;73;0;41;25;2.3
30.16;67;0;43;29;5.9
29.67;93;1.23;45;32;8.1
29.38;52;0;45;30;15
29.85;41;5;31;23;15.4
30.31;47;0;34;19;8.6
30.16;80;0.99;51;18;4.6
29.91;77;0;46;36;5.6
29.82;76;0;50;37;6.1
30;44;5;39;27;13.2
30.06;43;5;27;13;14.5
30.11;31;0;31;12;9.7
29.79;44;0.06;30;20;13.3
29.48;71;0.82;26;20;16.5
29.64;44;0;33;21;13.4
29.86;38;0;33;18;10.4
30.01;56;0;26;14;9.3
30.19;74;5;39;18;8.3
30.37;84;5;39;24;4.5
30.29;85;0.01;45;34;10.2
29.82;91;0.53;54;32;10.2
29.56;74;0.09;45;25;7.6
29.67;45;5;31;13;18.4
30.26;43;0;32;12;7.4
30.15;84;0.18;32;24;3
29.81;86;0.01;37;28;4.4
29.44;82;0.27;33;19;12.7
29.18;73;0.04;26;14;16.6
29.45;63;0;33;21;11.2
29.53;66;5;30;18;8.2
29.52;63;0;33;22;9.7
29.66;62;0;40;24;8.9
29.65;77;5;30;21;5.6
29.85;49;0;30;16;10.1
30.08;39;0;28;11;7.2
29.99;60;0;35;11;6.4
29.9;58;0;35;19;10.1
30.01;50;5;32;15;8
30.15;72;0;35;23;3
30.01;69;0;46;24;7.5
30.03;64;0;47;24;6.4
30;85;0.72;41;26;6.4
29.62;88;0.72;39;33;17.4
29.85;94;0.18;38;30;2.5
29.8;76;5;41;32;7.5
30.06;57;0;43;26;6.7
29.93;70;0;41;22;10.6
30.14;54;0;40;23;6
30.13;79;0;41;20;3
29.59;92;1.38;56;40;16.3
29.47;62;5;50;31;9.6
29.87;57;0;44;27;5.5
29.91;72;0.05;36;19;9.2
30.01;37;5;21;11;20.7
30.07;41;0;22;6;9.4
29.93;40;0;30;14;9.6
30.06;46;0;35;19;8.5
30.15;54;0;31;21;3.5
29.97;71;0.01;35;25;4.7
30.11;42;0;35;23;9.5
30.11;49;0;37;21;7.8
29.77;55;5;29;19;15.5
29.66;48;0;35;13;13.2
29.73;51;0;34;19;11.9
29.87;50;0;42;21;6.5
29.35;83;0.25;35;29;13.8
29.31;56;5;41;30;13.8
29.62;43;0;40;23;9.9
29.44;44;0;36;22;9
29.36;53;0;40;25;13.7
29.6;54;0;43;29;11
29.39;89;0.17;35;31;9.5
29.37;66;5;36;29;9.2
29.34;61;5;47;30;12.8
29.49;55;5;45;32;15
29.74;58;0;50;30;10.3
29.76;53;0;42;28;10
29.85;60;0;48;29;7
29.86;82;0.78;41;30;8.9
29.7;94;1.8;46;36;10.5
29.39;96;1.42;49;37;10.4
29.13;86;0.01;39;33;13.8
29.42;81;0.03;39;30;6.5
29.55;69;5;41;28;8.2
29.44;69;0.09;48;35;16.1
29.79;64;5;50;36;6.1
29.59;85;0.06;37;34;16.1
29.54;80;0.07;40;33;14.2
29.83;59;5;45;33;11.1
29.96;29;0;58;31;8.5
29.85;38;0;58;32;8.1
29.72;40;0;63;36;8.8
29.81;41;0;56;35;7.2
29.96;51;0;54;30;5
30.08;65;0.02;47;37;3.5
30.14;62;0;50;40;10.8
30;88;1.9;45;39;16.8
29.59;91;1.28;51;43;19.6
29.57;86;0.5;43;38;21.5
29.85;45;0;56;36;13.1
29.88;44;0;61;31;5.7
29.7;38;0;68;42;8.7
29.74;49;0;69;39;5.6
29.87;48;0;73;39;7.2
30.05;62;0;63;45;7.8
29.98;95;0.08;53;43;5.5
29.53;92;3.3;48;43;9.4
29.52;51;5;55;42;15.9
29.84;48;0;64;39;12
29.73;62;0.21;54;30;14.2
30.27;44;0;41;25;9.3
30.3;74;0.02;46;28;9.2
29.83;94;3.47;52;46;12.1
29.51;95;5.32;57;44;13
29.65;83;0.02;51;42;8.5
29.98;75;5;62;44;7.6
30.12;80;0;65;40;4.1
30.08;79;0;63;41;8
30.01;52;0;76;46;6.9
30.02;49;0;71;47;7.6
29.82;64;5;69;48;4.4
29.59;50;0;92;49;9.1
29.67;75;0;72;54;8.6
29.6;87;0.93;57;42;9.7
29.95;43;0;59;40;12.7
30.06;31;0;73;44;10.1
30.2;40;0;65;41;6.1
30.39;53;0;60;39;5.2
30.36;44;0;66;36;7.8
30.16;38;0;68;45;9.2
30.01;73;0.41;49;42;7.4
29.68;87;0.11;46;41;6.6
29.74;66;5;54;41;6
29.8;51;0;62;42;9.3
29.82;47;5;69;49;6.1
29.75;52;0;70;43;8
29.64;79;0.38;68;46;7.1
29.7;58;0;67;46;9.4
29.93;35;0;68;44;8.6
29.64;74;0.16;55;49;6.6
29.31;79;0.07;59;48;7.5
29.24;81;0.11;51;38;7.1
29.38;61;0.01;50;34;12.7
29.58;31;0;64;42;14.4
29.7;32;0;78;39;8.9
29.76;51;0;75;55;6.1
29.75;78;0;75;55;7.8
29.59;71;0.36;80;61;10.2
29.67;53;0.1;82;58;9.4
29.83;45;0;78;53;10.2
29.67;57;5;79;57;12.6
29.83;44;0;73;49;10.1
29.51;74;0.84;72;52;7.7
29.7;45;0;56;43;17.8
30.03;36;0;60;39;10.1
30.29;47;0;59;38;7.7
30.16;69;5;50;42;4.2
30.16;53;0;68;41;8.2
30.01;84;0.08;65;49;7.2
29.86;49;0.01;73;55;11
29.99;42;0;74;52;7.1
30.07;45;0;76;49;6.7
30.05;83;0.84;58;48;8.2
29.73;89;0.06;60;49;10.5
29.84;64;0;81;52;6.5
30.06;55;0;78;57;6.6
30.22;82;0;68;54;5.8
30.22;83;0;74;60;5.1
30.22;80;0;75;59;6.1
30.09;72;0;83;59;7.3
29.75;61;5;96;65;6.9
29.78;71;0.16;72;58;7.6
29.9;64;0;75;56;7.6
29.85;79;0.07;76;54;7.9
29.75;56;0;82;61;8.3
29.94;53;0;75;62;8.8
29.73;81;0.09;84;63;7.7
29.77;76;5;81;61;7.1
29.67;83;0.02;81;61;8.2
29.72;83;0;81;65;5.6
29.63;82;1.21;81;65;7.3
29.44;74;0.01;82;61;11.4
29.65;47;0;75;56;10.8
29.91;51;0.01;72;53;7.7
30.04;71;0.27;69;50;5.8
29.8;88;0.2;69;54;5.7
30.06;80;5;66;55;6.1
30.03;85;0.37;71;55;6
29.83;87;0.39;70;62;7.3
29.77;81;5;73;61;5.5
29.95;64;0;77;58;7.9
30.03;70;0.36;76;54;7
29.72;75;0.01;77;62;8.9
29.95;60;0;85;58;5.5
30;66;0;80;62;9.1
29.82;76;5;88;65;8.4
29.88;57;0;88;68;6.6
30.03;63;0.06;84;67;6.5
29.85;71;0.53;85;69;7.9
29.67;67;5;90;68;9.8
29.86;60;0;82;66;7.3
29.83;61;5;86;65;5.9
29.7;76;5;87;67;6.2
29.53;76;0.66;95;72;10.4
29.67;61;0;89;69;8.5
29.93;43;0;77;60;8.3
30.01;52;0;76;57;9.7
30.08;54;0;81;59;8.7
30.02;55;0;85;57;5.4
29.87;48;0;94;66;6.9
29.85;54;0;97;68;5.5
29.89;59;0;102;73;6.4
29.94;72;0;92;75;6.2
30;77;0;86;72;7.8
29.93;80;0.36;86;72;8.4
29.78;82;5;85;72;7.2
29.76;72;0;90;69;6.6
29.85;80;0;87;70;8.6
29.91;84;0.21;86;74;8.6
29.85;89;1.1;83;69;6.1
29.96;83;5;81;68;8.8
29.88;79;0;89;68;7.4
29.78;62;0;92;75;8.3
29.75;53;0;91;73;8.9
29.78;78;0.79;84;68;5.9
29.84;68;5;87;71;5.2
29.85;83;0.07;87;71;7.2
29.79;60;0;87;68;9.7
29.91;81;0.77;77;66;4.5
29.75;86;0.26;88;72;4.1
29.68;65;0.09;90;71;8.9
29.83;51;0;85;63;10.2
29.95;54;0;88;64;7.9
29.93;68;0;87;65;10.6
29.75;67;0.03;88;71;8.7
29.83;50;0;82;63;6.7
29.88;64;0;77;62;7.4
30.01;63;0;77;59;6.1
30.08;68;0;78;60;6.7
30.01;71;0;84;65;10.5
29.82;77;0;88;74;11.3
29.59;82;5;89;74;7.9
29.59;52;0;88;66;8.4
29.86;57;0;81;59;5.5
29.97;71;0;87;63;8.3
29.92;69;5;93;70;9
29.82;72;0.04;87;71;5.5
29.79;60;0;87;68;7
29.88;64;0;82;66;6.1
30.01;55;0;81;62;6.6
30.09;61;0;79;56;5.3
30.04;73;0;77;58;7.4
